title,body,labels
"Bootstrap Nx Angular Domain Platform","As a platform builder, I want to initialize a clean Nx monorepo so that I can build reusable Angular libraries and applications.\n\nTasks:\n- Initialize Nx workspace\n- Configure Angular standalone\n- Setup Rspack & Vitest\n\nAcceptance Criteria:\nGiven a fresh clone\nWhen I run nx serve\nThen the app starts successfully","week-1,foundation,nx"
"Define core-config library","As an application developer, I want a core-config library so that configuration can be injected consistently across applications.\n\nTasks:\n- Create core-config library\n- Define config token\n- Implement ConfigService\n- Unit tests\n\nAcceptance Criteria:\nGiven an app\nWhen I inject config\nThen I can read typed configuration","week-1,core,config"
"Implement core-http library","As a developer, I want a reusable HTTP abstraction so that all apps share the same HTTP behavior.\n\nTasks:\n- Create core-http library\n- HttpService wrapper\n- Unit tests\n\nAcceptance Criteria:\nGiven an HTTP call\nWhen I use CoreHttpService\nThen the request is executed correctly","week-1,core,http"
"Add HTTP interceptor with config token","As a developer, I want an HTTP interceptor so that base URLs and headers are centralized.\n\nTasks:\n- Create HTTP interceptor\n- Handle relative vs absolute URLs\n- Inject CORE_HTTP_CONFIG\n- Unit tests\n\nAcceptance Criteria:\nGiven a relative URL\nWhen the request is sent\nThen baseUrl is applied","week-1,http,interceptor"
"Setup GitHub CI pipeline","As a maintainer, I want CI pipelines so that every push is validated automatically.\n\nTasks:\n- Configure GitHub Actions\n- Run lint, test, build, e2e\n\nAcceptance Criteria:\nGiven a PR\nWhen CI runs\nThen all checks pass","week-1,ci,github"
"Define OSS contribution standards","As an OSS maintainer, I want contribution standards so that external contributors understand how to participate.\n\nTasks:\n- README update\n- Contribution guidelines\n- Commit conventions\n\nAcceptance Criteria:\nGiven a contributor\nWhen they read the docs\nThen they know how to contribute","week-1,oss,documentation"
"Design domain-driven library structure","As a platform architect, I want a domain-oriented structure so that libraries map business concepts.\n\nTasks:\n- Define domain vs core libs\n- Naming conventions\n\nAcceptance Criteria:\nGiven a new domain\nWhen a lib is created\nThen it follows the standard","week-2,architecture,ddd"
"Implement core-logging library","As a developer, I want structured logging so that applications are observable.\n\nTasks:\n- Create core-logging lib\n- Console + future extensibility\n- Tests\n\nAcceptance Criteria:\nGiven an event\nWhen logged\nThen format is consistent","week-2,core,logging"
"Prepare npm publishing strategy","As a maintainer, I want a versioning and publishing strategy so that libraries can be safely released.\n\nTasks:\n- Define semantic versioning rules\n- Tag strategy\n- Draft GitHub Action\n\nAcceptance Criteria:\nGiven a tag\nWhen pushed\nThen npm publish is triggered","week-2,npm,release"
"LinkedIn automation after npm release","As a freelance expert, I want to publish LinkedIn posts automatically so that releases increase visibility.\n\nTasks:\n- Identify LinkedIn API / workaround\n- Define post template\n\nAcceptance Criteria:\nGiven a release\nWhen pipeline finishes\nThen a post is prepared","week-2,marketing,linkedin"

